Experiment,width of patch,width of substrate,length of substrate,width of slot,Length of slot,Length of patch,Simulation tool used,Dielectric constant,Thickness of substrate,Resultant Frequency (GHz),Return Loss (S11) dB,gain (dBi),Substrate Material,,,,,,,,,
212,37.13,40.91,46.78,0.25,6.58,35.89,HFSS,2.6,1.5,2.59,-6.42,0.97,Benzocyclobutane,,,,,,,,,
213,21.41,49.28,50.88,0.24,5.98,35.89,HFSS,2.6,1.5,2.59,-25.14,-1.42,Benzocyclobutane,,,,,,,,,
214,40.37,62.01,48.37,0.77,8.40,35.89,HFSS,2.6,1.5,2.59,-12.15,1.33,Benzocyclobutane,,,,,,,,,
215,28.92,38.35,46.32,0.24,6.43,35.89,HFSS,2.6,1.5,2.59,-18.10,-0.12,Benzocyclobutane,,,,,,,,,
216,37.40,59.33,46.50,0.62,6.03,35.89,HFSS,2.6,1.5,2.59,-26.15,1.00,Benzocyclobutane,,,,,,,,,
217,29.41,37.47,42.15,0.37,5.81,31,HFSS,2.6,0.175,3.00,-13.43,0.59,Benzocyclobutane,,,,,,,,,
218,49.88,60.17,47.55,0.76,4.97,40.47,HFSS,2.6,1.58,2.30,-13.17,1.73,Benzocyclobutane,,,,,,,,,
219,39.16,41.17,55.54,0.38,7.69,35.89,HFSS,2.6,1.5,2.59,-25.00,1.20,Benzocyclobutane,,,,,,,,,
220,40.47,64.92,52.25,0.49,6.70,35.89,HFSS,2.6,1.5,2.59,-24.84,1.34,Benzocyclobutane,,,,,,,,,
221,29.56,33.46,38.73,0.26,4.98,31,HFSS,2.6,0.175,3.00,-23.74,0.62,Benzocyclobutane,,,,,,,,,
222,41.77,50.12,50.77,0.77,9.40,40.47,HFSS,2.6,1.58,2.30,-21.15,0.96,Benzocyclobutane,,,,,,,,,
223,29.59,52.16,46.14,1.10,9.77,40.47,HFSS,2.6,1.58,2.30,-13.55,-0.54,Benzocyclobutane,,,,,,,,,
224,25.24,38.00,39.23,0.76,3.34,31,HFSS,2.6,0.175,3.00,-26.98,-0.07,Benzocyclobutane,,,,,,,,,
225,55.73,35.90,40.53,0.74,3.77,35.26,HFSS,2.6,0.175,2.64,-12.33,2.81,Benzocyclobutane,,,,,,,,,
226,19.15,52.26,41.27,0.79,6.46,31,HFSS,2.6,0.175,3.00,-9.83,-1.27,Benzocyclobutane,,,,,,,,,
227,28.15,40.53,46.50,0.25,6.99,35.89,HFSS,2.6,1.5,2.59,-5.69,-0.23,Benzocyclobutane,,,,,,,,,
228,22.83,58.22,55.86,0.76,6.85,35.89,HFSS,2.6,1.5,2.59,-16.10,-1.14,Benzocyclobutane,,,,,,,,,
229,31.19,41.93,35.22,0.13,5.10,35.26,HFSS,2.6,0.175,2.64,-19.45,0.29,Benzocyclobutane,,,,,,,,,
230,35.48,50.37,55.99,0.64,8.51,35.89,HFSS,2.6,1.5,2.59,-23.42,0.77,Benzocyclobutane,,,,,,,,,
231,18.92,36.75,42.89,0.35,2.26,35.26,HFSS,2.6,0.175,2.64,-12.30,-1.88,Benzocyclobutane,,,,,,,,,
232,34.41,50.63,37.83,0.26,5.57,31,HFSS,2.6,0.175,3.00,-16.03,1.28,Benzocyclobutane,,,,,,,,,
233,33.20,26.49,41.30,0.38,6.55,31,HFSS,2.6,0.175,3.00,-26.61,1.12,Benzocyclobutane,,,,,,,,,
234,30.51,50.60,45.18,0.90,8.73,40.47,HFSS,2.6,1.58,2.30,-16.06,-0.40,Benzocyclobutane,,,,,,,,,
235,48.81,60.76,48.14,0.89,6.14,40.47,HFSS,2.6,1.58,2.30,-6.70,1.64,Benzocyclobutane,,,,,,,,,
236,20.96,46.76,38.82,0.12,8.40,35.26,HFSS,2.6,0.175,2.64,-12.89,-1.44,Benzocyclobutane,,,,,,,,,
237,48.45,58.48,49.04,0.80,5.04,40.47,HFSS,2.6,1.58,2.30,-16.21,1.60,Benzocyclobutane,,,,,,,,,
238,25.21,38.82,38.35,0.75,3.29,31,HFSS,2.6,0.175,3.00,-28.51,-0.08,Benzocyclobutane,,,,,,,,,
239,35.50,56.04,50.21,0.77,8.57,40.47,HFSS,2.6,1.58,2.30,-9.96,0.25,Benzocyclobutane,,,,,,,,,
240,29.40,32.18,38.39,0.25,5.00,31,HFSS,2.6,0.175,3.00,-24.07,0.59,Benzocyclobutane,,,,,,,,,
241,39.69,43.99,36.14,0.06,6.99,35.26,HFSS,2.6,0.175,2.64,-15.52,1.34,Benzocyclobutane,,,,,,,,,
242,33.36,42.70,35.38,0.10,7.88,35.26,HFSS,2.6,0.175,2.64,-20.41,0.58,Benzocyclobutane,,,,,,,,,
243,33.78,46.65,35.05,0.73,4.91,31,HFSS,2.6,0.175,3.00,-24.74,1.19,Benzocyclobutane,,,,,,,,,
244,23.54,53.63,31.84,0.37,4.78,31,HFSS,2.6,0.175,3.00,-11.78,-0.37,Benzocyclobutane,,,,,,,,,
245,55.36,61.12,48.43,0.37,1.52,35.26,HFSS,2.6,0.175,2.64,-5.70,2.78,Benzocyclobutane,,,,,,,,,
246,43.85,49.68,49.02,0.82,9.61,40.47,HFSS,2.6,1.58,2.30,-21.32,1.17,Benzocyclobutane,,,,,,,,,
247,45.95,45.66,46.36,0.63,6.66,35.89,HFSS,2.6,1.5,2.59,-9.51,1.90,Benzocyclobutane,,,,,,,,,
248,46.85,43.46,34.26,0.77,5.77,35.89,HFSS,2.6,1.5,2.59,-7.47,1.98,Benzocyclobutane,,,,,,,,,
249,43.64,43.64,40.73,0.60,6.98,35.89,HFSS,2.6,1.5,2.59,-16.93,1.67,Benzocyclobutane,,,,,,,,,
250,38.68,43.65,34.82,0.10,5.16,35.26,HFSS,2.6,0.175,2.64,-6.27,1.22,Benzocyclobutane,,,,,,,,,
251,22.43,62.37,35.52,0.64,7.27,35.89,HFSS,2.6,1.5,2.59,-6.32,-1.22,Benzocyclobutane,,,,,,,,,
252,23.32,57.04,45.90,0.93,7.31,40.47,HFSS,2.6,1.58,2.30,-10.08,-1.57,Benzocyclobutane,,,,,,,,,
253,37.53,55.90,44.79,0.60,6.06,35.89,HFSS,2.6,1.5,2.59,-22.06,1.02,Benzocyclobutane,,,,,,,,,
254,33.28,42.95,34.51,0.10,7.74,35.26,HFSS,2.6,0.175,2.64,-28.95,0.57,Benzocyclobutane,,,,,,,,,
255,36.65,46.72,58.10,0.36,3.78,35.26,HFSS,2.6,0.175,2.64,-20.55,0.99,Benzocyclobutane,,,,,,,,,
256,29.20,52.85,34.19,0.61,3.31,31,HFSS,2.6,0.175,3.00,-25.30,0.56,Benzocyclobutane,,,,,,,,,
257,25.80,41.97,34.95,0.09,6.76,35.26,HFSS,2.6,0.175,2.64,-28.24,-0.54,Benzocyclobutane,,,,,,,,,
258,41.56,49.59,51.82,0.90,4.91,40.47,HFSS,2.6,1.58,2.30,-22.79,0.94,Benzocyclobutane,,,,,,,,,
259,33.94,44.39,35.09,0.12,5.05,35.26,HFSS,2.6,0.175,2.64,-9.51,0.66,Benzocyclobutane,,,,,,,,,
260,25.58,36.87,38.43,0.77,3.39,31,HFSS,2.6,0.175,3.00,-24.33,-0.01,Benzocyclobutane,,,,,,,,,
261,18.36,45.69,46.85,0.48,3.08,35.26,HFSS,2.6,0.175,2.64,-10.04,-2.01,Benzocyclobutane,,,,,,,,,
262,30.91,44.33,37.78,0.07,6.73,35.26,HFSS,2.6,0.175,2.64,-27.14,0.25,Benzocyclobutane,,,,,,,,,
263,32.22,55.10,40.06,0.25,7.25,35.89,HFSS,2.6,1.5,2.59,-24.68,0.35,Benzocyclobutane,,,,,,,,,
264,54.99,56.71,47.53,0.38,1.53,35.26,HFSS,2.6,0.175,2.64,-13.85,2.75,Benzocyclobutane,,,,,,,,,
265,36.51,69.92,44.34,0.63,1.46,35.26,HFSS,2.6,0.175,2.64,-26.77,0.97,Benzocyclobutane,,,,,,,,,
266,21.45,47.52,38.32,0.13,8.15,35.26,HFSS,2.6,0.175,2.64,-12.61,-1.34,Benzocyclobutane,,,,,,,,,
267,22.68,47.96,46.96,0.37,9.07,35.89,HFSS,2.6,1.5,2.59,-27.62,-1.17,Benzocyclobutane,,,,,,,,,
268,42.58,64.97,52.12,0.26,9.04,35.89,HFSS,2.6,1.5,2.59,-18.93,1.56,Benzocyclobutane,,,,,,,,,
269,38.99,43.60,39.21,0.09,3.93,35.26,HFSS,2.6,0.175,2.64,-14.83,1.26,Benzocyclobutane,,,,,,,,,
270,27.77,47.23,51.52,0.78,7.84,35.89,HFSS,2.6,1.5,2.59,-20.18,-0.29,Benzocyclobutane,,,,,,,,,
271,44.99,47.49,39.47,0.62,6.54,35.89,HFSS,2.6,1.5,2.59,-6.19,1.80,Benzocyclobutane,,,,,,,,,
272,36.16,32.09,44.96,0.52,3.39,31,HFSS,2.6,0.175,3.00,-20.83,1.49,Benzocyclobutane,,,,,,,,,
273,19.43,53.57,43.00,0.75,6.21,31,HFSS,2.6,0.175,3.00,-8.99,-1.21,Benzocyclobutane,,,,,,,,,
274,25.27,50.71,40.30,0.60,4.95,40.47,HFSS,2.6,1.58,2.30,-10.69,-1.22,Benzocyclobutane,,,,,,,,,
275,41.87,57.68,45.87,0.63,8.64,40.47,HFSS,2.6,1.58,2.30,-14.04,0.97,Benzocyclobutane,,,,,,,,,
276,34.07,42.65,36.83,0.07,6.92,35.26,HFSS,2.6,0.175,2.64,-9.87,0.67,Benzocyclobutane,,,,,,,,,
277,54.00,23.14,56.88,0.64,2.98,35.26,HFSS,2.6,0.175,2.64,-8.37,2.67,Benzocyclobutane,,,,,,,,,
278,34.14,52.28,36.01,0.25,5.63,31,HFSS,2.6,0.175,3.00,-10.60,1.24,Benzocyclobutane,,,,,,,,,
279,34.40,43.34,34.92,0.76,4.66,31,HFSS,2.6,0.175,3.00,-17.48,1.27,Benzocyclobutane,,,,,,,,,
280,20.64,44.10,35.28,0.08,5.11,35.26,HFSS,2.6,0.175,2.64,-19.15,-1.50,Benzocyclobutane,,,,,,,,,
281,28.94,34.69,47.98,0.59,4.64,35.26,HFSS,2.6,0.175,2.64,-21.73,-0.04,Benzocyclobutane,,,,,,,,,
282,37.88,53.24,40.69,0.78,8.80,35.89,HFSS,2.6,1.5,2.59,-17.04,1.06,Benzocyclobutane,,,,,,,,,
283,41.57,63.71,50.07,0.52,6.88,35.89,HFSS,2.6,1.5,2.59,-5.70,1.46,Benzocyclobutane,,,,,,,,,
284,38.13,57.26,45.56,0.49,8.52,35.89,HFSS,2.6,1.5,2.59,-21.53,1.08,Benzocyclobutane,,,,,,,,,
285,26.68,44.93,37.82,0.11,8.03,35.26,HFSS,2.6,0.175,2.64,-10.72,-0.39,Benzocyclobutane,,,,,,,,,
286,42.97,63.08,52.87,0.50,6.99,35.89,HFSS,2.6,1.5,2.59,-27.09,1.60,Benzocyclobutane,,,,,,,,,
287,46.78,44.69,44.39,0.78,5.94,35.89,HFSS,2.6,1.5,2.59,-27.73,1.97,Benzocyclobutane,,,,,,,,,
288,35.48,47.57,52.34,0.78,7.35,35.89,HFSS,2.6,1.5,2.59,-14.05,0.77,Benzocyclobutane,,,,,,,,,
289,40.85,31.28,31.80,0.78,5.76,31,HFSS,2.6,0.175,3.00,-20.33,2.02,Benzocyclobutane,,,,,,,,,
290,28.59,33.90,48.44,0.64,4.49,35.26,HFSS,2.6,0.175,2.64,-7.50,-0.09,Benzocyclobutane,,,,,,,,,
291,30.05,51.05,49.04,1.12,9.92,40.47,HFSS,2.6,1.58,2.30,-21.64,-0.47,Benzocyclobutane,,,,,,,,,
292,45.05,23.08,54.58,0.36,4.64,35.26,HFSS,2.6,0.175,2.64,-23.89,1.89,Benzocyclobutane,,,,,,,,,
293,38.96,42.44,35.81,0.12,4.77,35.26,HFSS,2.6,0.175,2.64,-14.04,1.25,Benzocyclobutane,,,,,,,,,
294,49.15,47.33,52.30,1.09,7.41,40.47,HFSS,2.6,1.58,2.30,-22.86,1.67,Benzocyclobutane,,,,,,,,,
295,47.35,34.14,60.00,0.50,1.47,35.26,HFSS,2.6,0.175,2.64,-20.83,2.10,Benzocyclobutane,,,,,,,,,
296,29.30,46.65,32.96,0.51,6.73,31,HFSS,2.6,0.175,3.00,-15.04,0.58,Benzocyclobutane,,,,,,,,,
297,28.85,25.65,38.92,0.76,4.06,31,HFSS,2.6,0.175,3.00,-25.67,0.51,Benzocyclobutane,,,,,,,,,
298,21.27,43.46,34.80,0.06,3.84,35.26,HFSS,2.6,0.175,2.64,-11.10,-1.37,Benzocyclobutane,,,,,,,,,
299,41.92,57.54,43.32,1.22,7.62,40.47,HFSS,2.6,1.58,2.30,-18.85,0.97,Benzocyclobutane,,,,,,,,,
300,21.56,47.23,36.15,0.13,8.26,35.26,HFSS,2.6,0.175,2.64,-16.10,-1.32,Benzocyclobutane,,,,,,,,,
301,28.28,39.96,41.00,0.36,5.62,31,HFSS,10.7,0.175,1.48,-25.78,-5.72,Duroid 6010,,,,,,,,,
302,27.39,40.39,43.53,0.26,6.53,35.89,HFSS,10.7,1.5,1.28,-21.58,-6.50,Duroid 6010,,,,,,,,,
303,54.13,72.96,52.65,0.50,2.25,35.26,HFSS,10.7,0.175,1.30,-20.73,-3.46,Duroid 6010,,,,,,,,,
304,37.36,46.65,35.48,0.11,4.85,35.26,HFSS,10.7,0.175,1.30,-11.21,-5.07,Duroid 6010,,,,,,,,,
305,33.51,39.62,49.74,0.61,8.79,35.89,HFSS,10.7,1.5,1.28,-20.82,-5.62,Duroid 6010,,,,,,,,,
306,24.23,62.05,52.72,1.30,9.36,40.47,HFSS,10.7,1.58,1.13,-9.72,-7.55,Duroid 6010,,,,,,,,,
307,33.83,61.00,45.46,0.63,7.75,35.89,HFSS,10.7,1.5,1.28,-10.18,-5.58,Duroid 6010,,,,,,,,,
308,36.21,44.18,35.21,0.11,4.85,35.26,HFSS,10.7,0.175,1.30,-19.28,-5.21,Duroid 6010,,,,,,,,,
309,38.61,43.79,36.94,0.11,5.04,35.26,HFSS,10.7,0.175,1.30,-27.16,-4.93,Duroid 6010,,,,,,,,,
310,18.84,39.81,38.93,0.48,5.11,31,HFSS,10.7,0.175,1.48,-22.79,-7.49,Duroid 6010,,,,,,,,,
311,27.52,42.60,36.39,0.10,7.67,35.26,HFSS,10.7,0.175,1.30,-16.93,-6.40,Duroid 6010,,,,,,,,,
312,23.65,53.13,30.53,0.35,4.70,31,HFSS,10.7,0.175,1.48,-5.51,-6.50,Duroid 6010,,,,,,,,,
313,20.46,39.58,35.73,0.51,4.69,31,HFSS,10.7,0.175,1.48,-13.55,-7.13,Duroid 6010,,,,,,,,,
314,27.00,46.55,36.41,0.08,5.73,35.26,HFSS,10.7,0.175,1.30,-7.25,-6.48,Duroid 6010,,,,,,,,,
315,41.28,46.88,35.98,0.36,3.41,31,HFSS,10.7,0.175,1.48,-26.47,-4.08,Duroid 6010,,,,,,,,,
316,47.26,49.03,39.54,1.29,8.98,40.47,HFSS,10.7,1.58,1.13,-24.51,-4.65,Duroid 6010,,,,,,,,,
317,32.82,65.64,47.10,0.64,7.67,35.89,HFSS,10.7,1.5,1.28,-9.74,-5.71,Duroid 6010,,,,,,,,,
318,38.56,58.83,37.52,0.51,4.71,35.26,HFSS,10.7,0.175,1.30,-26.77,-4.93,Duroid 6010,,,,,,,,,
319,32.02,56.72,52.87,0.73,6.81,35.89,HFSS,10.7,1.5,1.28,-26.85,-5.82,Duroid 6010,,,,,,,,,
320,44.22,46.52,35.15,0.10,4.80,35.26,HFSS,10.7,0.175,1.30,-5.88,-4.34,Duroid 6010,,,,,,,,,
321,48.26,58.33,47.01,0.80,4.91,40.47,HFSS,10.7,1.58,1.13,-7.06,-4.56,Duroid 6010,,,,,,,,,
322,32.65,42.17,47.61,0.51,8.33,35.89,HFSS,10.7,1.5,1.28,-15.24,-5.73,Duroid 6010,,,,,,,,,
323,20.80,45.95,37.66,0.12,8.12,35.26,HFSS,10.7,0.175,1.30,-9.43,-7.61,Duroid 6010,,,,,,,,,
324,27.13,61.58,39.30,0.36,5.93,35.89,HFSS,10.7,1.5,1.28,-18.87,-6.54,Duroid 6010,,,,,,,,,
325,38.20,33.42,31.01,0.76,5.95,31,HFSS,10.7,0.175,1.48,-19.40,-4.41,Duroid 6010,,,,,,,,,
326,19.36,31.03,34.56,0.36,4.13,31,HFSS,10.7,0.175,1.48,-10.12,-7.37,Duroid 6010,,,,,,,,,
327,34.68,44.86,50.26,0.35,8.54,35.89,HFSS,10.7,1.5,1.28,-8.17,-5.47,Duroid 6010,,,,,,,,,
328,47.27,49.28,51.41,1.06,7.65,40.47,HFSS,10.7,1.58,1.13,-15.50,-4.65,Duroid 6010,,,,,,,,,
329,37.89,49.73,50.44,0.64,7.35,40.47,HFSS,10.7,1.58,1.13,-25.28,-5.61,Duroid 6010,,,,,,,,,
330,40.33,47.92,42.77,0.24,8.31,35.89,HFSS,10.7,1.5,1.28,-13.18,-4.82,Duroid 6010,,,,,,,,,
331,24.63,50.78,41.33,0.60,4.79,40.47,HFSS,10.7,1.58,1.13,-17.83,-7.48,Duroid 6010,,,,,,,,,
332,43.52,64.83,54.72,0.26,9.27,35.89,HFSS,10.7,1.5,1.28,-12.27,-4.48,Duroid 6010,,,,,,,,,
333,19.54,32.37,35.68,0.36,4.23,31,HFSS,10.7,0.175,1.48,-21.91,-7.33,Duroid 6010,,,,,,,,,
334,39.43,39.52,49.16,0.63,8.60,35.89,HFSS,10.7,1.5,1.28,-19.86,-4.91,Duroid 6010,,,,,,,,,
335,23.17,46.51,43.90,0.37,9.03,35.89,HFSS,10.7,1.5,1.28,-18.53,-7.22,Duroid 6010,,,,,,,,,
336,38.22,52.48,45.43,0.38,6.99,35.89,HFSS,10.7,1.5,1.28,-10.60,-5.05,Duroid 6010,,,,,,,,,
337,27.80,48.01,49.01,0.73,7.13,35.89,HFSS,10.7,1.5,1.28,-25.16,-6.43,Duroid 6010,,,,,,,,,
338,30.37,44.12,31.07,0.49,6.74,31,HFSS,10.7,0.175,1.48,-7.80,-5.41,Duroid 6010,,,,,,,,,
339,45.96,52.64,43.60,0.50,7.48,35.89,HFSS,10.7,1.5,1.28,-20.32,-4.25,Duroid 6010,,,,,,,,,
340,28.40,32.29,38.96,0.26,4.77,31,HFSS,10.7,0.175,1.48,-19.62,-5.70,Duroid 6010,,,,,,,,,
341,24.76,49.70,31.59,0.37,4.92,31,HFSS,10.7,0.175,1.48,-27.07,-6.30,Duroid 6010,,,,,,,,,
342,36.36,50.91,48.36,1.20,6.06,40.47,HFSS,10.7,1.58,1.13,-28.34,-5.79,Duroid 6010,,,,,,,,,
343,43.26,44.91,44.68,0.71,5.83,35.89,HFSS,10.7,1.5,1.28,-19.52,-4.51,Duroid 6010,,,,,,,,,
344,49.38,58.68,49.94,0.92,6.15,40.47,HFSS,10.7,1.58,1.13,-28.90,-4.46,Duroid 6010,,,,,,,,,
345,31.67,42.59,34.93,0.12,4.91,35.26,HFSS,10.7,0.175,1.30,-8.01,-5.79,Duroid 6010,,,,,,,,,
346,35.78,58.28,39.95,0.50,4.53,35.26,HFSS,10.7,0.175,1.30,-10.91,-5.26,Duroid 6010,,,,,,,,,
347,21.31,59.61,34.41,0.64,7.47,35.89,HFSS,10.7,1.5,1.28,-28.82,-7.59,Duroid 6010,,,,,,,,,
348,31.48,44.39,35.55,0.06,5.90,35.26,HFSS,10.7,0.175,1.30,-27.30,-5.81,Duroid 6010,,,,,,,,,
349,35.20,33.29,44.45,0.52,3.24,31,HFSS,10.7,0.175,1.48,-28.04,-4.77,Duroid 6010,,,,,,,,,
350,19.75,32.77,33.72,0.36,4.17,31,HFSS,10.7,0.175,1.48,-21.89,-7.28,Duroid 6010,,,,,,,,,
351,42.99,54.02,49.82,0.49,7.77,35.89,HFSS,10.7,1.5,1.28,-5.97,-4.54,Duroid 6010,,,,,,,,,
352,35.13,39.81,32.57,0.63,3.91,31,HFSS,10.7,0.175,1.48,-8.18,-4.78,Duroid 6010,,,,,,,,,
353,37.38,72.79,46.26,0.63,1.50,35.26,HFSS,10.7,0.175,1.30,-22.62,-5.07,Duroid 6010,,,,,,,,,
354,26.19,47.06,37.49,0.06,4.97,35.26,HFSS,10.7,0.175,1.30,-21.55,-6.61,Duroid 6010,,,,,,,,,
355,43.00,65.53,50.92,0.49,6.51,35.89,HFSS,10.7,1.5,1.28,-22.92,-4.54,Duroid 6010,,,,,,,,,
356,23.30,54.09,46.44,0.98,7.74,40.47,HFSS,10.7,1.58,1.13,-17.63,-7.72,Duroid 6010,,,,,,,,,
357,20.86,45.54,35.56,0.08,5.17,35.26,HFSS,10.7,0.175,1.30,-21.03,-7.60,Duroid 6010,,,,,,,,,
358,36.53,54.00,50.39,0.82,8.71,40.47,HFSS,10.7,1.58,1.13,-29.05,-5.77,Duroid 6010,,,,,,,,,
359,39.10,47.75,56.21,0.35,3.68,35.26,HFSS,10.7,0.175,1.30,-19.09,-4.87,Duroid 6010,,,,,,,,,
360,23.92,57.57,50.62,1.23,9.62,40.47,HFSS,10.7,1.58,1.13,-29.97,-7.61,Duroid 6010,,,,,,,,,
361,37.45,49.00,48.03,1.21,6.04,40.47,HFSS,10.7,1.58,1.13,-9.69,-5.66,Duroid 6010,,,,,,,,,
362,29.21,32.92,39.63,0.25,4.68,31,HFSS,10.7,0.175,1.48,-23.82,-5.58,Duroid 6010,,,,,,,,,
363,27.03,46.66,54.63,0.71,1.53,35.26,HFSS,10.7,0.175,1.30,-24.07,-6.48,Duroid 6010,,,,,,,,,
364,28.09,42.04,37.84,0.11,8.06,35.26,HFSS,10.7,0.175,1.30,-15.07,-6.31,Duroid 6010,,,,,,,,,
365,49.13,63.32,47.25,0.93,6.45,40.47,HFSS,10.7,1.58,1.13,-12.60,-4.48,Duroid 6010,,,,,,,,,
366,24.14,48.81,41.15,0.65,4.77,40.47,HFSS,10.7,1.58,1.13,-29.47,-7.57,Duroid 6010,,,,,,,,,
367,53.99,35.50,40.25,0.78,3.79,35.26,HFSS,10.7,0.175,1.30,-16.33,-3.47,Duroid 6010,,,,,,,,,
368,46.82,43.17,34.65,0.77,5.88,35.89,HFSS,10.7,1.5,1.28,-23.50,-4.17,Duroid 6010,,,,,,,,,
369,43.09,44.16,35.94,0.09,5.11,35.26,HFSS,10.7,0.175,1.30,-19.62,-4.45,Duroid 6010,,,,,,,,,
370,22.58,52.89,47.50,0.25,5.90,35.89,HFSS,10.7,1.5,1.28,-21.24,-7.33,Duroid 6010,,,,,,,,,
371,32.71,44.12,36.80,0.13,5.09,35.26,HFSS,10.7,0.175,1.30,-8.96,-5.65,Duroid 6010,,,,,,,,,
372,45.09,63.40,52.28,0.25,9.24,35.89,HFSS,10.7,1.5,1.28,-22.96,-4.33,Duroid 6010,,,,,,,,,
373,31.63,49.13,45.28,1.08,10.20,40.47,HFSS,10.7,1.58,1.13,-23.78,-6.39,Duroid 6010,,,,,,,,,
374,35.09,49.46,47.72,1.30,6.39,40.47,HFSS,10.7,1.58,1.13,-8.89,-5.94,Duroid 6010,,,,,,,,,
375,30.80,40.16,41.09,0.39,5.58,31,HFSS,10.7,0.175,1.48,-29.93,-5.35,Duroid 6010,,,,,,,,,
376,21.15,43.62,36.28,0.09,5.97,35.26,HFSS,10.7,0.175,1.30,-7.44,-7.54,Duroid 6010,,,,,,,,,
377,36.53,59.66,42.90,1.12,4.70,40.47,HFSS,10.7,1.58,1.13,-10.30,-5.77,Duroid 6010,,,,,,,,,
378,22.24,43.97,47.06,0.36,8.80,35.89,HFSS,10.7,1.5,1.28,-17.34,-7.40,Duroid 6010,,,,,,,,,
379,34.69,53.15,54.16,0.25,6.06,35.89,HFSS,10.7,1.5,1.28,-18.18,-5.47,Duroid 6010,,,,,,,,,
380,44.42,54.55,40.20,1.07,6.11,40.47,HFSS,10.7,1.58,1.13,-28.37,-4.92,Duroid 6010,,,,,,,,,
381,40.11,39.12,54.04,0.39,7.26,35.89,HFSS,10.7,1.5,1.28,-19.76,-4.84,Duroid 6010,,,,,,,,,
382,45.23,47.58,42.30,0.63,6.62,35.89,HFSS,10.7,1.5,1.28,-12.00,-4.32,Duroid 6010,,,,,,,,,
383,42.03,43.26,36.62,0.08,3.91,35.26,HFSS,10.7,0.175,1.30,-15.50,-4.56,Duroid 6010,,,,,,,,,
384,18.22,72.84,59.92,0.72,4.47,35.26,HFSS,10.7,0.175,1.30,-24.92,-8.19,Duroid 6010,,,,,,,,,
385,39.98,24.87,42.56,0.64,4.66,31,HFSS,10.7,0.175,1.48,-24.78,-4.22,Duroid 6010,,,,,,,,,
386,21.43,43.20,35.71,0.13,7.84,35.26,HFSS,10.7,0.175,1.30,-26.50,-7.49,Duroid 6010,,,,,,,,,
387,37.38,40.94,49.63,0.62,9.41,35.89,HFSS,10.7,1.5,1.28,-26.38,-5.15,Duroid 6010,,,,,,,,,
388,34.63,47.93,50.91,0.35,9.06,35.89,HFSS,10.7,1.5,1.28,-16.18,-5.48,Duroid 6010,,,,,,,,,
389,24.03,52.28,48.18,0.95,7.19,40.47,HFSS,10.7,1.58,1.13,-24.62,-7.59,Duroid 6010,,,,,,,,,
390,18.85,69.30,60.19,0.71,4.44,35.26,HFSS,10.7,0.175,1.30,-25.59,-8.04,Duroid 6010,,,,,,,,,
391,30.80,55.58,54.95,0.61,6.35,40.47,HFSS,10.7,1.58,1.13,-22.56,-6.51,Duroid 6010,,,,,,,,,
392,46.93,24.27,52.21,0.38,4.50,35.26,HFSS,10.7,0.175,1.30,-13.50,-4.08,Duroid 6010,,,,,,,,,
393,22.00,46.50,36.59,0.12,7.75,35.26,HFSS,10.7,0.175,1.30,-28.29,-7.37,Duroid 6010,,,,,,,,,
394,37.53,42.66,36.10,0.08,7.77,35.26,HFSS,10.7,0.175,1.30,-18.11,-5.05,Duroid 6010,,,,,,,,,
395,35.18,59.79,42.70,1.12,4.93,40.47,HFSS,10.7,1.58,1.13,-22.28,-5.93,Duroid 6010,,,,,,,,,
396,37.42,62.77,46.09,1.09,4.81,40.47,HFSS,10.7,1.58,1.13,-25.01,-5.66,Duroid 6010,,,,,,,,,
397,35.98,69.86,46.31,0.63,1.58,35.26,HFSS,10.7,0.175,1.30,-19.32,-5.24,Duroid 6010,,,,,,,,,
398,43.42,52.18,54.72,0.91,4.74,40.47,HFSS,10.7,1.58,1.13,-26.64,-5.02,Duroid 6010,,,,,,,,,
399,34.86,59.93,54.59,0.71,6.85,35.89,HFSS,10.7,1.5,1.28,-23.92,-5.45,Duroid 6010,,,,,,,,,
400,46.88,44.82,43.57,0.74,6.27,35.89,HFSS,10.7,1.5,1.28,-25.57,-4.16,Duroid 6010,,,,,,,,,
401,24.69,52.02,30.27,0.35,4.90,31,HFSS,10.7,0.175,1.48,-23.27,-6.31,Duroid 6010,,,,,,,,,
402,23.03,60.10,48.22,1.15,8.73,40.47,HFSS,10.7,1.58,1.13,-21.01,-7.77,Duroid 6010,,,,,,,,,
403,39.05,45.37,35.88,0.36,3.10,31,HFSS,10.7,0.175,1.48,-19.64,-4.32,Duroid 6010,,,,,,,,,
404,33.53,51.77,34.68,0.36,7.05,35.89,HFSS,10.7,1.5,1.28,-23.17,-5.62,Duroid 6010,,,,,,,,,
405,29.54,51.51,35.83,0.65,3.40,31,HFSS,10.7,0.175,1.48,-18.79,-5.53,Duroid 6010,,,,,,,,,
406,35.70,41.72,47.24,0.26,6.74,35.89,HFSS,10.7,1.5,1.28,-25.49,-5.35,Duroid 6010,,,,,,,,,
407,21.86,44.74,38.07,0.09,6.02,35.26,HFSS,10.7,0.175,1.30,-25.78,-7.40,Duroid 6010,,,,,,,,,
408,42.66,59.89,54.10,0.50,6.75,35.89,HFSS,10.7,1.5,1.28,-25.19,-4.57,Duroid 6010,,,,,,,,,
