Experiment,width of patch,width of substrate,length of substrate,width of slot,Length of slot,Length of patch,Simulation tool used,Dielectric constant,Thickness of substrate,Resultant Frequency (GHz),Return Loss (S11) dB,gain (dBi),Substrate Material,,,,,,,,,
201,28.8980225,52.38535182,32.71346567,0.629692501,3.390324237,31,HFSS,2.6,0.175,2.998764,-8.014568139,0.516829557,Benzocyclobutane,,,,,,,,,
202,42.60541275,55.39408383,50.7571443,0.378602806,8.0323128,35.89,HFSS,2.6,1.5,2.590184,-13.00620065,1.566678434,Benzocyclobutane,,,,,,,,,
203,21.33522583,44.10827727,35.60654395,0.095404716,5.729401378,35.26,HFSS,2.6,0.175,2.636463,-22.93406462,-1.360085391,Benzocyclobutane,,,,,,,,,
204,37.95214398,22.69718523,49.36491346,0.742956525,2.169379372,35.26,HFSS,2.6,0.175,2.636463,-27.67684645,1.141305317,Benzocyclobutane,,,,,,,,,
205,43.59425442,46.03846042,36.17564833,0.079624526,4.087083149,35.26,HFSS,2.6,0.175,2.636463,-6.4450061,1.743234712,Benzocyclobutane,,,,,,,,,
206,29.86016503,51.88279692,47.72994841,1.225413088,5.150775716,40.47,HFSS,2.6,1.58,2.297052,-18.87187706,-0.49864476,Benzocyclobutane,,,,,,,,,
207,26.18039488,45.09515074,35.50021804,0.121027346,3.924289809,35.26,HFSS,2.6,0.175,2.636463,-21.3962532,-0.471295906,Benzocyclobutane,,,,,,,,,
208,42.10762468,63.50751536,50.06890885,0.489444586,6.589897862,35.89,HFSS,2.6,1.5,2.590184,-29.40488418,1.515638097,Benzocyclobutane,,,,,,,,,
209,55.00332828,66.84096385,53.33852717,0.487549512,2.189238721,35.26,HFSS,2.6,0.175,2.636463,-10.27492136,2.752831864,Benzocyclobutane,,,,,,,,,
210,40.7229339,38.93679902,53.56829782,0.641477944,8.704225848,35.89,HFSS,2.6,1.5,2.590184,-13.36548906,1.370421258,Benzocyclobutane,,,,,,,,,
211,31.6639209,57.9181928,50.8568401,0.615983027,5.861767875,40.47,HFSS,2.6,1.58,2.297052,-19.10239721,-0.243919877,Benzocyclobutane,,,,,,,,,
212,37.12614171,40.90625812,46.77831514,0.245040049,6.5783129,35.89,HFSS,2.6,1.5,2.590184,-6.419888005,0.968828845,Benzocyclobutane,,,,,,,,,
213,21.4120507,49.2776721,50.88389254,0.24370606,5.982220505,35.89,HFSS,2.6,1.5,2.590184,-25.14374249,-1.421386706,Benzocyclobutane,,,,,,,,,
214,40.36523533,62.01444589,48.3658472,0.774157139,8.401274269,35.89,HFSS,2.6,1.5,2.590184,-12.14676665,1.332105551,Benzocyclobutane,,,,,,,,,
215,28.92035412,38.35108433,46.31513235,0.237698316,6.432725788,35.89,HFSS,2.6,1.5,2.590184,-18.10111711,-0.115933272,Benzocyclobutane,,,,,,,,,
216,37.39932825,59.33223301,46.5036753,0.62381714,6.02579613,35.89,HFSS,2.6,1.5,2.590184,-26.1474827,1.000668681,Benzocyclobutane,,,,,,,,,
217,29.41461002,37.46852896,42.14953698,0.37364666,5.81054335,31,HFSS,2.6,0.175,2.998764,-13.42604455,0.593779258,Benzocyclobutane,,,,,,,,,
218,49.88027642,60.17493111,47.55105274,0.762442576,4.965329672,40.47,HFSS,2.6,1.58,2.297052,-13.16774115,1.729721719,Benzocyclobutane,,,,,,,,,
219,39.16487101,41.17492943,55.53531389,0.379418813,7.688057097,35.89,HFSS,2.6,1.5,2.590184,-25.00280675,1.200997669,Benzocyclobutane,,,,,,,,,
220,40.4692856,64.91623492,52.24567656,0.48859396,6.703790514,35.89,HFSS,2.6,1.5,2.590184,-24.83647527,1.343286043,Benzocyclobutane,,,,,,,,,
221,29.56056682,33.46470589,38.73161981,0.260532061,4.983265451,31,HFSS,2.6,0.175,2.998764,-23.74227372,0.615275882,Benzocyclobutane,,,,,,,,,
222,41.7749993,50.12016897,50.7669911,0.767127989,9.39778287,40.47,HFSS,2.6,1.58,2.297052,-21.14894016,0.959597716,Benzocyclobutane,,,,,,,,,
223,29.59261754,52.16290637,46.13938235,1.09761368,9.773024377,40.47,HFSS,2.6,1.58,2.297052,-13.54738732,-0.537732984,Benzocyclobutane,,,,,,,,,
224,25.241507,38.00460825,39.2311748,0.761641568,3.335062693,31,HFSS,2.6,0.175,2.998764,-26.97659939,-0.07069889,Benzocyclobutane,,,,,,,,,
225,55.7297571,35.89775017,40.52936702,0.738619156,3.771373651,35.26,HFSS,2.6,0.175,2.636463,-12.32943397,2.809813669,Benzocyclobutane,,,,,,,,,
226,19.15335285,52.25644469,41.27132289,0.786087603,6.45681782,31,HFSS,2.6,0.175,2.998764,-9.83090487,-1.269403596,Benzocyclobutane,,,,,,,,,
227,28.15362635,40.53323867,46.49658688,0.249288825,6.990204954,35.89,HFSS,2.6,1.5,2.590184,-5.688606033,-0.232625912,Benzocyclobutane,,,,,,,,,
228,22.83313275,58.22269017,55.85828841,0.761533253,6.84797926,35.89,HFSS,2.6,1.5,2.590184,-16.09841746,-1.14231432,Benzocyclobutane,,,,,,,,,
229,31.18738078,41.93459981,35.2209787,0.12552216,5.096211767,35.26,HFSS,2.6,0.175,2.636463,-19.45442019,0.288731195,Benzocyclobutane,,,,,,,,,
230,35.47824058,50.37370963,55.99018134,0.636809575,8.510905996,35.89,HFSS,2.6,1.5,2.590184,-23.42440394,0.771651408,Benzocyclobutane,,,,,,,,,
231,18.91838739,36.74575542,42.89291811,0.354539036,2.261929685,35.26,HFSS,2.6,0.175,2.636463,-12.29605669,-1.88221669,Benzocyclobutane,,,,,,,,,
232,34.41157724,50.63333132,37.83177798,0.255350094,5.565942111,31,HFSS,2.6,0.175,2.998764,-16.02625839,1.275194097,Benzocyclobutane,,,,,,,,,
233,33.2020703,26.4852224,41.30203153,0.384787865,6.545409471,31,HFSS,2.6,0.175,2.998764,-26.61059295,1.119799957,Benzocyclobutane,,,,,,,,,
234,30.51361458,50.59784481,45.17880823,0.904081655,8.730997,40.47,HFSS,2.6,1.58,2.297052,-16.05531414,-0.404630234,Benzocyclobutane,,,,,,,,,
235,48.8132778,60.75565734,48.13752919,0.890664085,6.137700144,40.47,HFSS,2.6,1.58,2.297052,-6.703827519,1.635812917,Benzocyclobutane,,,,,,,,,
236,20.96307385,46.76332678,38.81631263,0.12202997,8.397941993,35.26,HFSS,2.6,0.175,2.636463,-12.89257926,-1.436508189,Benzocyclobutane,,,,,,,,,
237,48.45384188,58.47951903,49.03594099,0.797319956,5.036023797,40.47,HFSS,2.6,1.58,2.297052,-16.20556784,1.603715381,Benzocyclobutane,,,,,,,,,
238,25.20552014,38.81917488,38.34655956,0.748077431,3.293649235,31,HFSS,2.6,0.175,2.998764,-28.51137057,-0.076895052,Benzocyclobutane,,,,,,,,,
239,35.4996241,56.03826456,50.20564219,0.768630322,8.569819399,40.47,HFSS,2.6,1.58,2.297052,-9.959229444,0.252670748,Benzocyclobutane,,,,,,,,,
240,29.39734986,32.17854899,38.39323115,0.25427433,4.997996363,31,HFSS,2.6,0.175,2.998764,-24.06683538,0.591230119,Benzocyclobutane,,,,,,,,,
241,39.68619357,43.98841015,36.14098929,0.064743755,6.991643236,35.26,HFSS,2.6,0.175,2.636463,-15.52399472,1.335336631,Benzocyclobutane,,,,,,,,,
242,33.36289386,42.69580381,35.38203147,0.095745636,7.880637395,35.26,HFSS,2.6,0.175,2.636463,-20.4099568,0.581579306,Benzocyclobutane,,,,,,,,,
243,33.77608911,46.64991335,35.05458243,0.734992053,4.905806684,31,HFSS,2.6,0.175,2.998764,-24.73629946,1.194241926,Benzocyclobutane,,,,,,,,,
244,23.54417408,53.62713188,31.83677566,0.370185273,4.784712118,31,HFSS,2.6,0.175,2.998764,-11.78398682,-0.373017089,Benzocyclobutane,,,,,,,,,
245,55.36466563,61.12310634,48.42974706,0.373081194,1.524778934,35.26,HFSS,2.6,0.175,2.636463,-5.701097285,2.781268982,Benzocyclobutane,,,,,,,,,
246,43.84648499,49.679356,49.02363194,0.819978223,9.614794747,40.47,HFSS,2.6,1.58,2.297052,-21.31650134,1.169781037,Benzocyclobutane,,,,,,,,,
247,45.95152733,45.66365777,46.35948665,0.629570592,6.662537048,35.89,HFSS,2.6,1.5,2.590184,-9.507234828,1.895030174,Benzocyclobutane,,,,,,,,,
248,46.84874713,43.46057032,34.25674111,0.770342041,5.773374252,35.89,HFSS,2.6,1.5,2.590184,-7.473031735,1.979010475,Benzocyclobutane,,,,,,,,,
249,43.63844881,43.64469694,40.7304105,0.600840303,6.975449017,35.89,HFSS,2.6,1.5,2.590184,-16.93148446,1.670723709,Benzocyclobutane,,,,,,,,,
250,38.68429606,43.65498249,34.81830011,0.104637563,5.157703484,35.26,HFSS,2.6,0.175,2.636463,-6.265421041,1.224289152,Benzocyclobutane,,,,,,,,,
251,22.43159942,62.37439316,35.52144199,0.640542048,7.269937209,35.89,HFSS,2.6,1.5,2.590184,-6.32417648,-1.219366928,Benzocyclobutane,,,,,,,,,
252,23.31950572,57.03867521,45.90268545,0.925448529,7.313652753,40.47,HFSS,2.6,1.58,2.297052,-10.07512848,-1.572373388,Benzocyclobutane,,,,,,,,,
253,37.52511496,55.89525191,44.79377212,0.598798879,6.061736988,35.89,HFSS,2.6,1.5,2.590184,-22.05927174,1.015250978,Benzocyclobutane,,,,,,,,,
254,33.2768377,42.94803387,34.50789224,0.095645022,7.735974899,35.26,HFSS,2.6,0.175,2.636463,-28.95357812,0.570362653,Benzocyclobutane,,,,,,,,,
255,36.651168,46.72463644,58.09704337,0.361734083,3.777595447,35.26,HFSS,2.6,0.175,2.636463,-20.54615409,0.989820361,Benzocyclobutane,,,,,,,,,
256,29.2003458,52.85458645,34.1877697,0.606615251,3.310038729,31,HFSS,2.6,0.175,2.998764,-25.29943413,0.562028254,Benzocyclobutane,,,,,,,,,
257,25.79523686,41.97402617,34.95383005,0.092278681,6.75579699,35.26,HFSS,2.6,0.175,2.636463,-28.24062052,-0.535662632,Benzocyclobutane,,,,,,,,,
258,41.56350789,49.58941611,51.81955977,0.898310122,4.907396911,40.47,HFSS,2.6,1.58,2.297052,-22.78605332,0.937555145,Benzocyclobutane,,,,,,,,,
259,33.9431777,44.38536638,35.08577575,0.12223575,5.045157979,35.26,HFSS,2.6,0.175,2.636463,-9.509783939,0.656467145,Benzocyclobutane,,,,,,,,,
260,25.58172214,36.86534945,38.42728383,0.773671885,3.386948313,31,HFSS,2.6,0.175,2.998764,-24.32827759,-0.012553916,Benzocyclobutane,,,,,,,,,
261,18.36264136,45.69418153,46.84786972,0.480898777,3.079737285,35.26,HFSS,2.6,0.175,2.636463,-10.03787186,-2.011706311,Benzocyclobutane,,,,,,,,,
262,30.90947972,44.33172583,37.77599006,0.074715896,6.729440968,35.26,HFSS,2.6,0.175,2.636463,-27.14027156,0.249859117,Benzocyclobutane,,,,,,,,,
263,32.218318,55.10269418,40.06378444,0.249753401,7.248455644,35.89,HFSS,2.6,1.5,2.590184,-24.67665547,0.353059301,Benzocyclobutane,,,,,,,,,
264,54.98875635,56.70993238,47.5315111,0.383757849,1.534743893,35.26,HFSS,2.6,0.175,2.636463,-13.85000932,2.751681143,Benzocyclobutane,,,,,,,,,
265,36.50990263,69.91668212,44.34273614,0.625072519,1.456778884,35.26,HFSS,2.6,0.175,2.636463,-26.77115193,0.973048915,Benzocyclobutane,,,,,,,,,
266,21.45085834,47.52002537,38.32439646,0.126162212,8.152119314,35.26,HFSS,2.6,0.175,2.636463,-12.60641716,-1.336611085,Benzocyclobutane,,,,,,,,,
267,22.67656871,47.95743985,46.963506,0.374111887,9.072411263,35.89,HFSS,2.6,1.5,2.590184,-27.61501809,-1.172195934,Benzocyclobutane,,,,,,,,,
268,42.58216261,64.97349171,52.12359945,0.260122647,9.035268527,35.89,HFSS,2.6,1.5,2.590184,-18.92679419,1.564307804,Benzocyclobutane,,,,,,,,,
269,38.98901883,43.59505029,39.20960489,0.090464035,3.933821615,35.26,HFSS,2.6,0.175,2.636463,-14.82710221,1.25836523,Benzocyclobutane,,,,,,,,,
270,27.77246503,47.233367,51.52062828,0.782000733,7.842251472,35.89,HFSS,2.6,1.5,2.590184,-20.17550165,-0.29182505,Benzocyclobutane,,,,,,,,,
271,44.98716569,47.49121169,39.47138441,0.622251664,6.544644881,35.89,HFSS,2.6,1.5,2.590184,-6.1887105,1.802916987,Benzocyclobutane,,,,,,,,,
272,36.15831689,32.09394299,44.96275793,0.523935013,3.388247445,31,HFSS,2.6,0.175,2.998764,-20.83402012,1.490230375,Benzocyclobutane,,,,,,,,,
273,19.43279458,53.56590516,42.99667982,0.746694926,6.212714981,31,HFSS,2.6,0.175,2.998764,-8.993574981,-1.206499092,Benzocyclobutane,,,,,,,,,
274,25.26842703,50.70704961,40.30115037,0.604740343,4.954133677,40.47,HFSS,2.6,1.58,2.297052,-10.69176176,-1.223784719,Benzocyclobutane,,,,,,,,,
275,41.87164709,57.68393041,45.87139932,0.627368939,8.63923659,40.47,HFSS,2.6,1.58,2.297052,-14.03906183,0.969633653,Benzocyclobutane,,,,,,,,,
276,34.07349894,42.64822532,36.83220606,0.074755785,6.918907502,35.26,HFSS,2.6,0.175,2.636463,-9.867367299,0.673109494,Benzocyclobutane,,,,,,,,,
277,54.00421454,23.14136357,56.87818752,0.642241141,2.980297339,35.26,HFSS,2.6,0.175,2.636463,-8.367248703,2.673218707,Benzocyclobutane,,,,,,,,,
278,34.13761739,52.28476071,36.01038582,0.246953584,5.628613021,31,HFSS,2.6,0.175,2.998764,-10.60321548,1.240480375,Benzocyclobutane,,,,,,,,,
279,34.39899023,43.33892873,34.91628319,0.759877854,4.66153235,31,HFSS,2.6,0.175,2.998764,-17.48275077,1.273605251,Benzocyclobutane,,,,,,,,,
280,20.64216247,44.09951906,35.28412475,0.079843391,5.11177798,35.26,HFSS,2.6,0.175,2.636463,-19.14571071,-1.503505912,Benzocyclobutane,,,,,,,,,
281,28.94161755,34.68770822,47.98177661,0.589924209,4.644182526,35.26,HFSS,2.6,0.175,2.636463,-21.73147007,-0.03582983,Benzocyclobutane,,,,,,,,,
282,37.881553,53.2393651,40.68664144,0.775544563,8.803246878,35.89,HFSS,2.6,1.5,2.590184,-17.04337748,1.056308416,Benzocyclobutane,,,,,,,,,
283,41.56542043,63.71211755,50.07111055,0.522990733,6.881357622,35.89,HFSS,2.6,1.5,2.590184,-5.7014448,1.459352441,Benzocyclobutane,,,,,,,,,
284,38.12921676,57.25808956,45.55881515,0.48821973,8.524429917,35.89,HFSS,2.6,1.5,2.590184,-21.52928995,1.084609506,Benzocyclobutane,,,,,,,,,
285,26.6759361,44.9261118,37.82155579,0.105076395,8.025039908,35.26,HFSS,2.6,0.175,2.636463,-10.72325991,-0.389861149,Benzocyclobutane,,,,,,,,,
286,42.96635428,63.08102478,52.87051473,0.497578963,6.988221391,35.89,HFSS,2.6,1.5,2.590184,-27.093202,1.603315715,Benzocyclobutane,,,,,,,,,
287,46.77960784,44.68774426,44.38764054,0.781564774,5.941211927,35.89,HFSS,2.6,1.5,2.590184,-27.73164576,1.972596431,Benzocyclobutane,,,,,,,,,
288,35.4750678,47.57221231,52.33594379,0.776513391,7.354760729,35.89,HFSS,2.6,1.5,2.590184,-14.05435946,0.771263005,Benzocyclobutane,,,,,,,,,
289,40.85055045,31.27602992,31.79998762,0.782297368,5.75739095,31,HFSS,2.6,0.175,2.998764,-20.33119985,2.020127438,Benzocyclobutane,,,,,,,,,
290,28.59299126,33.90137016,48.43960302,0.64464908,4.490360687,35.26,HFSS,2.6,0.175,2.636463,-7.502607521,-0.088461917,Benzocyclobutane,,,,,,,,,
291,30.05399478,51.04966834,49.03884037,1.12076269,9.923768094,40.47,HFSS,2.6,1.58,2.297052,-21.63718245,-0.470544731,Benzocyclobutane,,,,,,,,,
292,45.04684563,23.08230888,54.57711722,0.36456325,4.636136478,35.26,HFSS,2.6,0.175,2.636463,-23.89127324,1.88558602,Benzocyclobutane,,,,,,,,,
293,38.95709998,42.44186045,35.80956965,0.11501544,4.766471556,35.26,HFSS,2.6,0.175,2.636463,-14.03623478,1.254808366,Benzocyclobutane,,,,,,,,,
294,49.15329752,47.33436256,52.29560595,1.092074704,7.409041987,40.47,HFSS,2.6,1.58,2.297052,-22.85534725,1.665959788,Benzocyclobutane,,,,,,,,,
295,47.34624794,34.14133869,59.9993222,0.500211581,1.467812063,35.26,HFSS,2.6,0.175,2.636463,-20.83100632,2.101797849,Benzocyclobutane,,,,,,,,,
296,29.29521046,46.64581318,32.96494756,0.510775161,6.730964438,31,HFSS,2.6,0.175,2.998764,-15.03577173,0.576114532,Benzocyclobutane,,,,,,,,,
297,28.84933291,25.65091287,38.92393135,0.758911602,4.057367617,31,HFSS,2.6,0.175,2.998764,-25.66659833,0.509506062,Benzocyclobutane,,,,,,,,,
298,21.27272726,43.46349457,34.79885588,0.064038729,3.842444446,35.26,HFSS,2.6,0.175,2.636463,-11.10260043,-1.372826112,Benzocyclobutane,,,,,,,,,
299,41.92167393,57.53880423,43.32301429,1.222538304,7.620436784,40.47,HFSS,2.6,1.58,2.297052,-18.85274425,0.97481936,Benzocyclobutane,,,,,,,,,
300,21.55519154,47.2291655,36.15244986,0.129728626,8.255840692,35.26,HFSS,2.6,0.175,2.636463,-16.10324527,-1.315538969,Benzocyclobutane,,,,,,,,,
301,28.2825383,39.95754099,41.00421051,0.35762216,5.623914646,31,HFSS,10.7,0.175,1.478213,-25.78221343,-5.720772148,Duroid 6010,,,,,,,,,
302,27.38890569,40.39488035,43.52804831,0.258188548,6.534956152,35.89,HFSS,10.7,1.5,1.276807,-21.57848862,-6.496326828,Duroid 6010,,,,,,,,,
303,54.12852489,72.95996191,52.64509219,0.496891128,2.246001164,35.26,HFSS,10.7,0.175,1.29962,-20.72751009,-3.460900211,Duroid 6010,,,,,,,,,
304,37.36433207,46.65222036,35.48332385,0.108910497,4.849951279,35.26,HFSS,10.7,0.175,1.29962,-11.20658202,-5.070589899,Duroid 6010,,,,,,,,,
305,33.511038,39.61594633,49.73758543,0.613934643,8.793500006,35.89,HFSS,10.7,1.5,1.276807,-20.8224366,-5.620194831,Duroid 6010,,,,,,,,,
306,24.22962999,62.04863077,52.72250813,1.302792712,9.361520589,40.47,HFSS,10.7,1.58,1.132311,-9.717890736,-7.550203273,Duroid 6010,,,,,,,,,
307,33.82786977,61.00226236,45.46282094,0.628834346,7.753195832,35.89,HFSS,10.7,1.5,1.276807,-10.17670207,-5.579327133,Duroid 6010,,,,,,,,,
308,36.2129617,44.1787327,35.20741828,0.105152415,4.85411682,35.26,HFSS,10.7,0.175,1.29962,-19.28113087,-5.206521677,Duroid 6010,,,,,,,,,
309,38.61303755,43.78734603,36.93656271,0.107851181,5.042639313,35.26,HFSS,10.7,0.175,1.29962,-27.1587852,-4.927822456,Duroid 6010,,,,,,,,,
310,18.8404995,39.80628129,38.92716645,0.477917458,5.105675941,31,HFSS,10.7,0.175,1.478213,-22.78917587,-7.485031861,Duroid 6010,,,,,,,,,
311,27.51948437,42.59957998,36.38850556,0.104555158,7.671851644,35.26,HFSS,10.7,0.175,1.29962,-16.93466117,-6.398759207,Duroid 6010,,,,,,,,,
312,23.65301712,53.12844618,30.52800229,0.354982795,4.695315755,31,HFSS,10.7,0.175,1.478213,-5.511682955,-6.497090528,Duroid 6010,,,,,,,,,
313,20.46154315,39.5798034,35.72742679,0.513402202,4.686748944,31,HFSS,10.7,0.175,1.478213,-13.54845042,-7.126572151,Duroid 6010,,,,,,,,,
314,27.00236937,46.55005721,36.40755381,0.079334452,5.725705674,35.26,HFSS,10.7,0.175,1.29962,-7.248157026,-6.481143392,Duroid 6010,,,,,,,,,
315,41.2769691,46.87800848,35.97982947,0.362004869,3.405651586,31,HFSS,10.7,0.175,1.478213,-26.46871933,-4.078877986,Duroid 6010,,,,,,,,,
316,47.25687909,49.03087341,39.54371069,1.290459963,8.976055026,40.47,HFSS,10.7,1.58,1.132311,-24.50690676,-4.649020726,Duroid 6010,,,,,,,,,
317,32.82391135,65.63783529,47.10183234,0.638646276,7.665027626,35.89,HFSS,10.7,1.5,1.276807,-9.742089304,-5.710170323,Duroid 6010,,,,,,,,,
318,38.5603434,58.82583389,37.51746347,0.509126391,4.710193821,35.26,HFSS,10.7,0.175,1.29962,-26.76570082,-4.933753201,Duroid 6010,,,,,,,,,
319,32.02383618,56.71796273,52.86898568,0.734264025,6.806749701,35.89,HFSS,10.7,1.5,1.276807,-26.85166985,-5.817340079,Duroid 6010,,,,,,,,,
320,44.21968265,46.52274834,35.15204706,0.095946309,4.795480801,35.26,HFSS,10.7,0.175,1.29962,-5.883223089,-4.339005915,Duroid 6010,,,,,,,,,
321,48.26438796,58.33178146,47.00738085,0.803614942,4.913361915,40.47,HFSS,10.7,1.58,1.132311,-7.057945784,-4.557403061,Duroid 6010,,,,,,,,,
322,32.65240757,42.16676156,47.6101949,0.50969117,8.331105244,35.89,HFSS,10.7,1.5,1.276807,-15.23906173,-5.732921546,Duroid 6010,,,,,,,,,
323,20.7984103,45.94661223,37.66010858,0.123303861,8.116396691,35.26,HFSS,10.7,0.175,1.29962,-9.425470129,-7.614860715,Duroid 6010,,,,,,,,,
324,27.13467374,61.58238302,39.3049696,0.359228661,5.933803026,35.89,HFSS,10.7,1.5,1.276807,-18.86867949,-6.536827592,Duroid 6010,,,,,,,,,
325,38.2041648,33.42056911,31.01089329,0.76361188,5.951478689,31,HFSS,10.7,0.175,1.478213,-19.39962818,-4.41484889,Duroid 6010,,,,,,,,,
326,19.35821483,31.03225806,34.55614817,0.35798472,4.128838338,31,HFSS,10.7,0.175,1.478213,-10.11805691,-7.367302937,Duroid 6010,,,,,,,,,
327,34.67833103,44.86451536,50.26118878,0.353512308,8.540684543,35.89,HFSS,10.7,1.5,1.276807,-8.168977271,-5.471491754,Duroid 6010,,,,,,,,,
328,47.26807044,49.27774459,51.40789523,1.062745174,7.645968682,40.47,HFSS,10.7,1.58,1.132311,-15.4960032,-4.647992353,Duroid 6010,,,,,,,,,
329,37.89045541,49.73127172,50.44417281,0.635016807,7.3499015,40.47,HFSS,10.7,1.58,1.132311,-25.27638256,-5.608372842,Duroid 6010,,,,,,,,,
330,40.33210915,47.9243152,42.77091806,0.238767255,8.305034097,35.89,HFSS,10.7,1.5,1.276807,-13.18175629,-4.815564295,Duroid 6010,,,,,,,,,
331,24.63340425,50.78386748,41.32645831,0.600812015,4.791625789,40.47,HFSS,10.7,1.58,1.132311,-17.83474799,-7.478426755,Duroid 6010,,,,,,,,,
332,43.5225404,64.82616601,54.71592126,0.256410258,9.274743176,35.89,HFSS,10.7,1.5,1.276807,-12.26538758,-4.484931262,Duroid 6010,,,,,,,,,
333,19.54196958,32.3651062,35.68093213,0.355127948,4.234557646,31,HFSS,10.7,0.175,1.478213,-21.90807953,-7.326272659,Duroid 6010,,,,,,,,,
334,39.43157655,39.51565087,49.16213218,0.625671436,8.596739617,35.89,HFSS,10.7,1.5,1.276807,-19.85702061,-4.913632219,Duroid 6010,,,,,,,,,
335,23.1684671,46.50547929,43.89767888,0.365956272,9.031402616,35.89,HFSS,10.7,1.5,1.276807,-18.53152728,-7.223100628,Duroid 6010,,,,,,,,,
336,38.22337361,52.47904506,45.42910023,0.378353325,6.985206285,35.89,HFSS,10.7,1.5,1.276807,-10.59507998,-5.048783479,Duroid 6010,,,,,,,,,
337,27.80149334,48.01201473,49.00710424,0.728666174,7.126091642,35.89,HFSS,10.7,1.5,1.276807,-25.15565181,-6.431392388,Duroid 6010,,,,,,,,,
338,30.36870012,44.12255227,31.07496946,0.485743529,6.739794996,31,HFSS,10.7,0.175,1.478213,-7.8010055,-5.411693958,Duroid 6010,,,,,,,,,
339,45.95505929,52.63991502,43.59790097,0.500782769,7.475620098,35.89,HFSS,10.7,1.5,1.276807,-20.31557043,-4.248740326,Duroid 6010,,,,,,,,,
340,28.39549691,32.29078563,38.96091697,0.256153089,4.766213574,31,HFSS,10.7,0.175,1.478213,-19.62017646,-5.703461258,Duroid 6010,,,,,,,,,
341,24.76220503,49.70367106,31.58569702,0.373939133,4.924972642,31,HFSS,10.7,0.175,1.478213,-27.06784365,-6.298062836,Duroid 6010,,,,,,,,,
342,36.3572958,50.9052853,48.35778639,1.202426772,6.064790357,40.47,HFSS,10.7,1.58,1.132311,-28.34374312,-5.787755358,Duroid 6010,,,,,,,,,
343,43.26487507,44.90697631,44.67906838,0.71494035,5.834362223,35.89,HFSS,10.7,1.5,1.276807,-19.52188757,-4.510719093,Duroid 6010,,,,,,,,,
344,49.38224218,58.67846595,49.94338594,0.918470835,6.146498811,40.47,HFSS,10.7,1.58,1.132311,-28.89595409,-4.457963044,Duroid 6010,,,,,,,,,
345,31.669854,42.5850029,34.93057956,0.119508943,4.906100303,35.26,HFSS,10.7,0.175,1.29962,-8.007691283,-5.788701518,Duroid 6010,,,,,,,,,
346,35.77956063,58.27885095,39.9466037,0.497552365,4.530683495,35.26,HFSS,10.7,0.175,1.29962,-10.90942845,-5.258812097,Duroid 6010,,,,,,,,,
347,21.3082849,59.60698189,34.40726606,0.636702627,7.466140581,35.89,HFSS,10.7,1.5,1.276807,-28.82136835,-7.586588685,Duroid 6010,,,,,,,,,
348,31.48438572,44.38939269,35.54820087,0.060707101,5.903936047,35.26,HFSS,10.7,0.175,1.29962,-27.29998891,-5.814209886,Duroid 6010,,,,,,,,,
349,35.19927254,33.28583086,44.45157643,0.521501337,3.241966094,31,HFSS,10.7,0.175,1.478213,-28.03890691,-4.770619108,Duroid 6010,,,,,,,,,
350,19.74871077,32.77377707,33.71506358,0.363997743,4.171025948,31,HFSS,10.7,0.175,1.478213,-21.8940037,-7.280568494,Duroid 6010,,,,,,,,,
351,42.99329424,54.01508238,49.81960413,0.485422936,7.76541081,35.89,HFSS,10.7,1.5,1.276807,-5.970205425,-4.538066403,Duroid 6010,,,,,,,,,
352,35.12853074,39.8088023,32.57496284,0.629456826,3.907259751,31,HFSS,10.7,0.175,1.478213,-8.184345848,-4.779356131,Duroid 6010,,,,,,,,,
353,37.37644886,72.78672513,46.25617876,0.628146691,1.501565776,35.26,HFSS,10.7,0.175,1.29962,-22.61881142,-5.069181763,Duroid 6010,,,,,,,,,
354,26.1890613,47.05812145,37.48925892,0.063338291,4.969528119,35.26,HFSS,10.7,0.175,1.29962,-21.54756756,-6.613962808,Duroid 6010,,,,,,,,,
355,42.99620441,65.53462932,50.91818394,0.49311475,6.511637875,35.89,HFSS,10.7,1.5,1.276807,-22.91963955,-4.537772444,Duroid 6010,,,,,,,,,
356,23.30296016,54.09172266,46.44288348,0.984270386,7.735197132,40.47,HFSS,10.7,1.58,1.132311,-17.62684213,-7.719560166,Duroid 6010,,,,,,,,,
357,20.86119647,45.5368933,35.56373787,0.080307834,5.166137767,35.26,HFSS,10.7,0.175,1.29962,-21.02554273,-7.601769997,Duroid 6010,,,,,,,,,
358,36.52920889,53.9990825,50.39205523,0.815286253,8.706854644,40.47,HFSS,10.7,1.58,1.132311,-29.04824658,-5.767268426,Duroid 6010,,,,,,,,,
359,39.10081025,47.74931564,56.21049108,0.354823048,3.683641376,35.26,HFSS,10.7,0.175,1.29962,-19.09285281,-4.87330456,Duroid 6010,,,,,,,,,
360,23.91652124,57.56874764,50.61944797,1.233190723,9.616575247,40.47,HFSS,10.7,1.58,1.132311,-29.9689144,-7.606690995,Duroid 6010,,,,,,,,,
361,37.45135764,48.99769071,48.02893087,1.211183566,6.042606546,40.47,HFSS,10.7,1.58,1.132311,-9.687284305,-5.658995435,Duroid 6010,,,,,,,,,
362,29.20755209,32.92032843,39.62894956,0.24695222,4.677352181,31,HFSS,10.7,0.175,1.478213,-23.82078859,-5.581004389,Duroid 6010,,,,,,,,,
